kanji,keyword,meanings,story,frequency_rank,anki_tag
圭,square jewel,"square jewel, corner, angle, edge","in the SOIL below the SOIL, i find the beautiful *square jewel*",9999,suspend_rare
封,seal,"seal, closing",a SQUARE JEWEL is GLUED to the letter to make a nice *seal*,1254,
涯,horizon,"horizon, shore, limit, bound",just beyond the *horizon* is only WATER and a CLIFF with a SQUARE JEWEL,1692,
均,level,"level, average",SOIL is scooped up into a LADEL. The extra DROP is brushed off to make it *level*,1025,
火,fire,fire,atomic,584,
炎,inflammation,"inflammation, flame, blaze","an lung *inflammation* is like TWO FIRES, one in each lung",1193,
煩,anxiety,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome",*anxiety* is like a FIRE in my HEAD,2222,suspend_rare
淡,thin,"thin, faint, pale, fleeting",drinking only WATER when you have an INFLAMMATION makes you very *thin* and pale - eat too!!,1476,
灯,lamp,"lamp, a light, light, counter for lights",today's equivalent of a FIRE in a STREET is a *lamp*,1295,
畑,farm,"farm, field, garden, one's specialty, (kokuji)",the FIRE of the kettle next to the FIELD is for the workers of the *farm*,1313,
災,disaster,"disaster, calamity, woe, curse, evil","What a *disaster*! First a FIRE, then on top of it came FLOODs.",939,
灰,ashes,"ashes, puckery juice, cremate","of the FIRE in the cave under the CLIFF, only *ashes* remain",1739,
点,spot,"spot, point, mark, speck, decimal point",The FORTUNE TELLER was burned by FLAMES on the *spot* because she was accused of being a witch,219,
照,illuminates,"illuminate, shine, compare, bashful",the SHINING of the FIRE *illuminates* the surroundings,742,
魚,fish,fish,*fish* can be eaten on top of BOUND UP rice from the FIELD (nigiri) or grilled,796,
漁,fishing,"fishing, fishery",getting the FISH from WATER is *fishing*,1403,
里,ri,"ri (unit of measurement), rtk-primitive:COMPUTER, village, parent's home, league",The *ri* is a Japanese way of measuring the area of the SOIL underneath a FIELD.\n\n= the BRAIN made out of silicone from the SOIL,897,
黒,black,black,burning the COMPUTER with FIRE results only in a *black* screen,590,
墨,black ink,"black ink, India ink, ink stick, Mexico",BLACK SOIL can be used as *black ink*,1943,suspend_rare
鯉,carp,carp,a FISH in the japanese COMPUTER is frequently a *carp*,2097,suspend_rare
量,quantity,"quantity, measure, weight, amount, consider, estimate, surmise","until SUNRISE I used the COMPUTER, which is a too large *quantity*",440,
厘,rin,"rin, 1/10 sen, 1/10 bu",A COMPUTER dropped off of a CLIFF would be worth about a *rin*,3004,suspend_rare
埋,buried,"bury, be filled up, embedded","to break my COMPUTER addiction, it has to *buried* under some SOIL",1350,
同,same,"same, agree, equal",ONE MOUTH under a HOOD looks the *same* as any other.,121,
洞,den,"den, cave, excavation",flow of WATER on the SAME spot over a long time can carve out a *den*,1636,
胴,trunk,"trunk, torso, hull (ship), hub of wheel",Your *trunk* is where the BODY parts meet at the SAME place.,2079,suspend_rare
向,over there,"over there, facing, beyond, confront, defy, tend toward, approach",Look *over there*! That tiny DROP is robin HOOD at the MOUTH of his secret cave,209,
尚,esteem,"esteem, furthermore, still, yet",the SMALL CAPE gives the person more *esteem* when talking with the MOUTH,1392,
字,characters,"character, letter, word, section of village",the CHILD learns Kanji *characters* underneath a HOUSE.,378,
守,guard,"guard, protect, defend, obey",the *guard* is GLUED to the HOUSE,671,
