kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
埼	cape	cape, spit, promontory	a person with a *cape* walks on the STRANGE SOIL	1253	0153	"<img src=""057fc.svg"">"	
垣	hedge	hedge, fence, wall	the area of the SOIL is SPANNED by the *hedge*	1462	0154	"<img src=""057a3.svg"">"	
圭	square jewel	square jewel, corner, angle, edge	in the SOIL below the SOIL, i find the beautiful *square jewel*	9999	0155	"<img src=""0572d.svg"">"	suspend_rare
封	seal	seal, closing	a SQUARE JEWEL is GLUED to the letter to make a nice *seal*	1254	0156	"<img src=""05c01.svg"">"	
涯	horizon	horizon, shore, limit, bound	just beyond the *horizon* is only WATER and a CLIFF with a SQUARE JEWEL	1692	0157	"<img src=""06daf.svg"">"	
寺	Buddhist temple	Buddhist temple	at the SOIL where there's MEASUREMENT of karma is a *Buddhist temple*	825	0158	"<img src=""05bfa.svg"">"	
時	time	time, hour	In ancient Japan, *time* of DAY was announced with a iron bell at BUDDHIST TEMPLES.	19	0159	"<img src=""06642.svg"">"	
均	level	level, average	SOIL is scooped up into a LADEL. The extra DROP is brushed off to make it *level*	1025	0160	"<img src=""05747.svg"">"	
火	fire	fire	atomic	584	0161	"<img src=""0706b.svg"">"	
炎	inflammation	inflammation, flame, blaze	an lung *inflammation* is like TWO FIRES, one in each lung	1193	0162	"<img src=""0708e.svg"">"	
煩	anxiety	anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome	*anxiety* is like a FIRE in my HEAD	2222	0163	"<img src=""07169.svg"">"	suspend_rare
淡	thin	thin, faint, pale, fleeting	drinking only WATER when you have an INFLAMMATION makes you very *thin* and pale - eat too!!	1476	0164	"<img src=""06de1.svg"">"	
灯	lamp	lamp, a light, light, counter for lights	today's equivalent of a FIRE in a STREET is a *lamp*	1295	0165	"<img src=""0706f.svg"">"	
畑	farm	farm, field, garden, one's specialty, (kokuji)	the FIRE of the kettle next to the FIELD is for the workers of the *farm*	1313	0166	"<img src=""07551.svg"">"	
災	disaster	disaster, calamity, woe, curse, evil	What a *disaster*! First a FIRE, then on top of it came FLOODs.	939	0167	"<img src=""0707d.svg"">"	
灰	ashes	ashes, puckery juice, cremate	of the FIRE in the cave under the CLIFF, only *ashes* remain	1739	0168	"<img src=""07070.svg"">"	
点	spot	spot, point, mark, speck, decimal point	The FORTUNE TELLER was burned by FLAMES on the *spot* because she was accused of being a witch	219	0169	"<img src=""070b9.svg"">"	
照	illuminates	illuminate, shine, compare, bashful	the SHINING of the FIRE *illuminates* the surroundings	742	0170	"<img src=""07167.svg"">"	
魚	fish	fish	*fish* can be eaten on top of BOUND UP rice from the FIELD (nigiri) or grilled	796	0171	"<img src=""09b5a.svg"">"	
漁	fishing	fishing, fishery	getting the FISH from WATER is *fishing*	1403	0172	"<img src=""06f01.svg"">"	
里	ri	ri (unit of measurement), rtk-primitive:COMPUTER, village, parent's home, league	The *ri* is a Japanese way of measuring the area of the SOIL underneath a FIELD.\n\n= the BRAIN made out of silicone from the SOIL	897	0173	"<img src=""091cc.svg"">"	
黒	black	black	burning the COMPUTER with FIRE results only in a *black* screen	590	0174	"<img src=""09ed2.svg"">"	
墨	black ink	black ink, India ink, ink stick, Mexico	BLACK SOIL can be used as *black ink*	1943	0175	"<img src=""058a8.svg"">"	suspend_rare
鯉	carp	carp	a FISH in the japanese COMPUTER is frequently a *carp*	2097	0176	"<img src=""09bc9.svg"">"	suspend_rare
量	quantity	quantity, measure, weight, amount, consider, estimate, surmise	until SUNRISE I used the COMPUTER, which is a too large *quantity*	440	0177	"<img src=""091cf.svg"">"	
厘	rin	rin, 1/10 sen, 1/10 bu	A COMPUTER dropped off of a CLIFF would be worth about a *rin*	3004	0178	"<img src=""05398.svg"">"	suspend_rare
埋	buried	bury, be filled up, embedded	to break my COMPUTER addiction, it has to *buried* under some SOIL	1350	0179	"<img src=""057cb.svg"">"	
同	same	same, agree, equal	ONE MOUTH under a HOOD looks the *same* as any other.	121	0180	"<img src=""0540c.svg"">"	
洞	den	den, cave, excavation	flow of WATER on the SAME spot over a long time can carve out a *den*	1636	0181	"<img src=""06d1e.svg"">"	
胴	trunk	trunk, torso, hull (ship), hub of wheel	Your *trunk* is where the BODY parts meet at the SAME place.	2079	0182	"<img src=""080f4.svg"">"	suspend_rare
向	over there	over there, facing, beyond, confront, defy, tend toward, approach	Look *over there*! That tiny DROP is robin HOOD at the MOUTH of his secret cave	209	0183	"<img src=""05411.svg"">"	
尚	esteem	esteem, furthermore, still, yet	the SMALL CAPE gives the person more *esteem* when talking with the MOUTH	1392	0184	"<img src=""05c1a.svg"">"	
字	characters	character, letter, word, section of village	the CHILD learns Kanji *characters* underneath a HOUSE.	378	0185	"<img src=""05b57.svg"">"	
守	guard	guard, protect, defend, obey	the *guard* is GLUED to the HOUSE	671	0186	"<img src=""05b88.svg"">"	
完	perfect	perfect, completion, end	only at the HOUSE of my ORIGIN is the toilet *perfect*	479	0187	"<img src=""05b8c.svg"">"	
