kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
翌	"""The following!"""	the following, next	"Your FEATHERS would also STAND UP if you were a hen in a slaughter house and you heard: *""The following!""*."	1039	0575	"<img src=""07fcc.svg"">"	
曜	weekdays	weekday	Take from UTokyo wants the human lifestyle; sleeping on the FUTON and waking with the SUN - especially on *weekdays*, where the Japanese work like crazy	582	0576	"<img src=""066dc.svg"">"	
濯	laundry	laundry, wash, pour on, rinse	I wash the FUTON with WATER by hand instead of putting it into the *laundry*	1390	0577	"<img src=""06fef.svg"">"	
脊	spinal column	rtk: spinal column, stature, height, spine	the *spinal column* is like an UMBRELLA to the body which you always carry and to its left are TWO and to its right are TWO arms and legs respectively, which makes up most of the BODY	2300	2071	"<img src=""0810a.svg"">"	suspend_rare
妖	bewitch	bewitching, attractive, calamity	the WOMAN used a SAPLING to *bewitch* you	1607	2078	"<img src=""05996.svg"">"	
沃	fertility	fertility	putting WATER on the SAPLING causes *fertility* to it	3247	2079	"<img src=""06c83.svg"">"	suspend_rare
巾	towel	towel, hanging scroll, width, cloth radical (no. 50)	atomic	2034	2101	"<img src=""05dfe.svg"">"	suspend_rare
喬	angel	rtk: angel, high, boasting	I took fruits from the wrong SAPLING, put them into my MOUTH - then a creature appeared with a HOOD and a MOUTH. an *angel*! \n(imagine the one from Homm V)	9999	2104	"<img src=""055ac.svg"">"	suspend_rare
匂	aroma	aroma, fragrant, stink, glow, insinuate	imagine some good smelling herbs WRAPPED UP and placed on a SPOON, fully releasing their *aroma*	1611	2147	"<img src=""05302.svg"">"	
嘲	ridicule	ridicule, insult	using your MOUTH in the MORNING can be a *ridicule*	2770	2155	"<img src=""05632.svg"">"	suspend_rare
呪	spell	spell, curse, charm, malediction	words from the MOUTH of the ELDER BROTHER can feel like a *spell* or curse on the younger siblings	1766	2169	"<img src=""0546a.svg"">"	
唄	songs	song, ballad	*songs* are often about kissing on the MOUTH and MONEY	1723	2178	"<img src=""05504.svg"">"	
叱	scolds	scold, reprove	imagine SITTING ON THE GROUND in the corner as your teacher stands over you, her MOUTH  wide open as she *scolds* you in front of the entire class.	2032	2179	"<img src=""053f1.svg"">"	suspend_rare
堆	piled high	piled high	the SOIL, which in this case are mashed potatoes, are *piled high* next to the TURKEY	2265	2185	"<img src=""05806.svg"">"	suspend_rare
填	fill in	fill in	into the wholes in the plant pot, I *fill in* TRUE SOIL	9999	2190	"<img src=""0586b.svg"">"	suspend_rare
妬	jealous	jealous, envy	a WOMAN is hiding behind a STONE to observe her lover because she's *jealous*	2165	2195	"<img src=""059ac.svg"">"	suspend_rare
沙	grains of sand	rtk: grains of sand, sand	when you go into the WATER at the beach, you always get A FEW *grains of sand* in your clothes	1373	2296	"<img src=""06c99.svg"">"	
汰	washing	washing, sieving, filtering, weeding out, luxury	*washing* is a daily for the PLUMP person that sweats so much WATER	1668	2316	"<img src=""06c70.svg"">"	
汎	pan-	pan-	a *pan-*fish is one that is COMMONPLACE in many WATER sources (ocean, lake, river)	2114	2327	"<img src=""06c4e.svg"">"	suspend_rare
苛	torment	torment, scold, chastise	a FLOWER CAN *torment* the bee, when it makes the nectar hard to get	2331	2373	"<img src=""082db.svg"">"	suspend_rare
蔑	reviled	revile = beschimpfen, ignore, despise, neglect, ridicule	They gays were *reviled* by society, so they put FLOWERS above their EYES and MARCHED around.	2550	2390	"<img src=""08511.svg"">"	suspend_rare
葛	Kudzu	kudzu = invasive Japanese plant, arrowroot	*Kudzu* vines and FLOWERS grow so fast by DAY that by night they have BOUND UP all the HUMANS in the forest like FISH HOOKS bind fish.	1699	2398	"<img src=""0845b.svg"">"	
昧	dark	dark, foolish	DAY is NOT YET, so it's still *dark*	1718	2445	"<img src=""06627.svg"">"	
旺	flourishing	flourishing, successful, beautiful, vigorous	the SUN KING lived during a *flourishing* time of France's monarchy	2255	2450	"<img src=""065fa.svg"">"	suspend_rare
肘	elbow	elbow, arm	the *elbow* was a FLESH (body)-based MEASUREMENT in the middle ages	2226	2464	"<img src=""08098.svg"">"	suspend_rare
腺	gland / Drüse	gland = Drüse	from the FLESH comes a SPRING; *gland / Drüse*	1963	2466	"<img src=""0817a.svg"">"	suspend_rare
椅	chair	chair	if you think about it, a *chair* is a STRANGE thing made from WOOD	1532	2480	"<img src=""06905.svg"">"	
柿	persimmon	persimmon	a *persimmon* is a fruit from a TREE which i basically only see on fruit MARKETS	1951	2481	"<img src=""067ff.svg"">"	suspend_rare
椎	chinquapin	chinquapin, mallet, spine	the native American sounding TREE name *chinquapin* can be connected to TURKEYS	1824	2505	"<img src=""0690e.svg"">"	suspend_rare
煎	broiled	broil, parch, roast, boil	the meat is *broiled* IN FRONT of the guests on a FIRE	1928	2548	"<img src=""0714e.svg"">"	suspend_rare
玩	play	play, take pleasure in, trifle with, make sport of	the KING likes to *play* Golf in the BEGINNING of the day	1787	2567	"<img src=""073a9.svg"">"	
誰	who	who, someone, somebody	*who* TALKS TURKEY, asked the police officer.\n(talking turkey = speaking the truth)	544	2712	"<img src=""08ab0.svg"">"	
詣	visit a shrine	visit a temple, arrive, attain	You *visit a shrine* to SAY your wishes and offer DELICIOUS offering to the gods.	2212	2715	"<img src=""08a63.svg"">"	suspend_rare
諦	give up	give up, truth, clarity, abandon	"in world war 2, the WORDS of the Japanese SOVEREIGN were ""*give up*!"" to the people via radio"	1581	2716	"<img src=""08ae6.svg"">"	
詮	Elucidate	rtk: elucidate = aufklären, discussion, methods called for, selection, result	*Elucidate* me. Tell me, in your own WORDS, the WHOLE story.	2131	2717	"<img src=""08a6e.svg"">"	suspend_rare
貼	stick	stick, paste, apply	regarding the MONEY, the FORTUNE TELLER tells you to *stick* to your plan	1049	2736	"<img src=""08cbc.svg"">"	
賂	graft	rtk: graft, bribe	*graft* is like bribing. You have to give MONEY to EACH person.	3316	2738	"<img src=""08cc2.svg"">"	suspend_rare
鍵	key	key	The METAL thing you need in order to enter things you BUILD is a *key*	1472	2761	"<img src=""09375.svg"">"	
頃	about that time	about that time, about, toward	When Uncle Bob starts his comic routine of sticking SPOONS on his HEAD, you know it is *about that time*  to come up with a reason to excuse yourself.	558	2791	"<img src=""09803.svg"">"	
冥	Hades	rtk: Hades, dark	If you can survive *Hades* for SIX DAYS they give you a CROWN as a reward.	2085	2841	"<img src=""051a5.svg"">"	suspend_rare
戚	relatives	relatives, grieve	think of a PARADE of *relatives* . they have seen you grow UP since you were SMALL	1954	2882	"<img src=""0621a.svg"">"	suspend_rare
嗅	smelled	smell, sniff, scent	a MOUTH that STINKS even a DROP can be *smelled* across the restaurant	2360	3008	"<img src=""055c5.svg"">"	suspend_rare
喩	metaphor	metaphor, compare	A MEETING of BUTCHERS is a perfect *metaphor* for the supposed secret talks(MOUTHS) between Hitler and Stalin.	2653	3009	"<img src=""055a9.svg"">"	suspend_rare
訃	obituary (= Todesanzeige)	obituary (= Todesanzeige)	not even the WORDS spoken with a MAGIC WAND can revert the effects of the *obituary (= Todesanzeige)*	2742	3010	"<img src=""08a03.svg"">"	suspend_rare
楷	blocked characters	block letters, correctness	imagine a forest where the TREES are ALL about the same size and evenly spaced. *blocked characters* are the same but for characters on some paper	3410	3011	"<img src=""06977.svg"">"	suspend_rare
諧	harmony	harmony	the parliament has *harmony* if the WORDS of ALL members are heard equally	3272	3012	"<img src=""08ae7.svg"">"	suspend_rare
戌	march	rtk: march, sign of the dog	*march*, because like a PARADE but more unity, thus ONE	9999	9999	"<img src=""0620c.svg"">"	suspend_rare
壬	porter	rtk: porter = someone who carries things, 9th calendar sign	the SAMURAI carries a big DROP of responsibility for his master, hence being a *porter*	9999	9999	"<img src=""058ec.svg"">"	suspend_rare
